id,neighbourhood_cleansed,city,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_wash,has_washer,has_garden,has_balcony,LSOA11CD,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,minutes_to_town,minutes_to_rail,minutes_to_airport,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
43826471,Ancoats and Clayton,Manchester,53.48475,-2.23749,Entire serviced apartment,12,1.0,2.0,97.0,1,1125,93,1,0,1,1,0,1,1,1,0,0,E01033664,26.430999999999997,195500.0,14,10,46,1,0,0,0
34228948,Bolton District,Manchester,53.57125,-2.43609,Entire apartment,12,2.0,3.0,119.0,1,1125,55,7,0,1,1,1,1,1,1,0,0,E01004848,59.211000000000006,70000.0,17,35,61,1,0,0,0
40700888,Levenshulme,Manchester,53.4481,-2.19386,Entire house,12,2.0,5.0,156.0,2,1125,0,1,1,1,1,1,1,1,1,0,0,E01005219,45.909,243500.0,14,18,44,1,0,0,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
19504724,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,12,4.0,7.0,250.0,1,1125,362,28,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
20377955,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,8,4.0,3.0,170.0,1,1125,362,18,0,1,0,0,1,0,0,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
14760405,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Private room in guesthouse,3,3.0,1.0,66.0,1,1125,360,55,0,1,0,0,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
15012598,Salford District,Manchester,53.483219999999996,-2.2553799999999997,Room in hotel,2,3.0,1.0,55.0,1,1125,364,7,0,1,0,1,1,1,1,0,0,E01032687,14.659,226500.0,13,17,49,0,0,1,0
